,Bitcoin Price,S&P500 Price
2011-11-29,0.11999999999999988,0.002213743658546985
2011-11-30,0.0714285714285714,0.04331528878253654
2011-12-01,0.03333333333333344,-0.0019086418168987596
2011-12-02,0.0,-0.00024104517186518404
2011-12-05,-0.06451612903225812,0.01028707364901793
2011-12-06,0.034482758620689724,0.0011057371050371412
2011-12-07,0.0,0.0020183238376758617
2011-12-08,0.0,-0.021141783173805218
2011-12-09,0.0,0.016883379916555308
2011-12-12,0.03333333333333344,-0.014914076753320238
2011-12-13,0.06451612903225801,-0.00868601745291031
2011-12-14,-0.030303030303030165,-0.011348339356954673
2011-12-15,0.0,0.003243055899391001
2011-12-16,0.0,0.0032161217355541893
2011-12-19,0.09375,-0.011732777987308096
2011-12-20,0.1428571428571428,0.029825361928070615
2011-12-21,-0.025000000000000022,0.001949569000241791
2011-12-22,0.0,0.008265526002637191
2011-12-23,0.025641025641025772,0.009035087719298174
2011-12-27,0.02499999999999991,7.903076667759024e-05
2011-12-28,0.024390243902439046,-0.012477971914685138
2011-12-29,0.0,0.01070708364008821
2011-12-30,0.023809523809523725,-0.0042913018004465675
2012-01-03,0.13953488372093026,0.015473918575063639
2012-01-04,0.1428571428571428,0.00018793165552133395
2012-01-05,0.2321428571428572,0.0029437093869881803
2012-01-06,-0.02898550724637683,-0.0025369615786926536
2012-01-09,-0.059701492537313494,0.002261682096712514
2012-01-10,0.01587301587301604,0.008885765596938988
2012-01-11,0.078125,0.00030957835428147007
2012-01-12,-0.01449275362318847,0.0023365932161425462
2012-01-13,-0.05882352941176461,-0.0049478965650329165
2012-01-17,-0.1250000000000001,0.003552893901899834
2012-01-18,0.0535714285714286,0.011107933244181245
2012-01-19,0.0847457627118644,0.004938686890309185
2012-01-20,0.015625,0.000669456066945795
2012-01-23,-0.01538461538461533,0.00047134668308768113
2012-01-24,-0.01562500000000011,-0.001025835866261371
2012-01-25,-0.07936507936507942,0.008671509527250487
2012-01-26,-0.08620689655172409,-0.005746389653482065
2012-01-27,0.0,-0.0015928035618122394
2012-01-30,0.037735849056603765,-0.0025221638950718717
2012-01-31,0.0,-0.0004569652934859336
2012-02-01,0.10909090909090913,0.008899657881302314
2012-02-02,0.0,0.001095091723372299
2012-02-03,-0.016393442622950727,0.014605368378170613
2012-02-06,-0.09999999999999998,-0.0004238233325899454
2012-02-07,0.05555555555555558,0.0020233127282736074
2012-02-08,-0.01754385964912286,0.0021602761590142627
2012-02-09,0.03571428571428581,0.001474117751637083
2012-02-10,0.017241379310344973,-0.006886349347239085
2012-02-13,-0.10169491525423735,0.006800035750461619
2012-02-14,-0.15094339622641506,-0.0009395089401302847
2012-02-15,-0.04444444444444451,-0.005383191410588628
2012-02-16,0.0,0.011025662023629534
2012-02-17,0.023255813953488413,0.002348973520662101
2012-02-21,-0.022727272727272818,0.0007199371156969558
2012-02-22,0.023255813953488413,-0.003340160474523013
2012-02-23,0.13636363636363624,0.004272056332218721
2012-02-24,0.0,0.0016722162733047163
2012-02-27,0.0,0.0013545770058722706
2012-02-28,-0.019999999999999907,0.003356269057246841
2012-02-29,0.0,-0.004736987858735775
2012-03-01,0.0,0.006158104387557817
2012-03-02,-0.04081632653061229,-0.0032457844828212012
2012-03-05,0.06382978723404253,-0.0038696582288648695
2012-03-06,0.0,-0.015370181700908203
2012-03-07,-0.019999999999999907,0.006900607432110739
2012-03-08,0.0,0.009817910293280496
2012-03-09,0.0,0.0036312787811787484
2012-03-12,0.0,0.00016048202966012504
2012-03-13,0.08163265306122436,0.01813155956210033
2012-03-14,0.018867924528301883,-0.0011963179196963214
2012-03-15,-0.0185185185185186,0.005967237570645656
2012-03-16,0.0,0.0011193497789820928
2012-03-19,-0.1132075471698113,0.003973877806818127
2012-03-20,0.02127659574468077,-0.003000532009221457
2012-03-21,0.0,-0.0018711935796003054
2012-03-22,-0.02083333333333326,-0.007206552188696258
2012-03-23,0.0,0.003108890133402209
2012-03-26,-0.021276595744680993,0.013885807130433525
2012-03-27,0.04347826086956519,-0.0028167820911959573
2012-03-28,0.0,-0.004941522951887434
2012-03-29,0.0,-0.0016079229335344003
2012-03-30,0.02083333333333348,0.0036984778518898143
2012-04-02,0.020408163265306145,0.007504597187018458
2012-04-03,-0.019999999999999907,-0.003988612019393267
2012-04-04,0.0,-0.010202493313900107
2012-04-05,0.0,-0.0006290387144737286
2012-04-09,0.0,-0.011358434424353359
2012-04-10,-0.020408163265306256,-0.017081464332224128
2012-04-11,0.02083333333333348,0.0074488992264039044
2012-04-12,0.0,0.01377939811939699
2012-04-13,0.0,-0.012475046303970228
2012-04-16,0.0,-0.0005035540700305541
2012-04-17,0.020408163265306145,0.015486612586432358
2012-04-18,0.020000000000000018,-0.004055278333021661
2012-04-19,0.0,-0.005934418181555712
2012-04-20,0.03921568627450989,0.0011692763559247865
2012-04-23,-0.05660377358490565,-0.008407506546828758
2012-04-24,0.020000000000000018,0.003679751854507085
2012-04-25,0.0,0.013644613220405777
2012-04-26,0.0,0.006680137198081582
2012-04-27,0.0,0.0024143202045743273
2012-04-30,-0.039215686274509665,-0.003883536654885278
2012-05-01,0.020408163265306145,0.00565844725339959
2012-05-02,0.020000000000000018,-0.0024967634547807815
2012-05-03,0.0,-0.007658791565345768
2012-05-04,0.0,-0.01614722938838864
2012-05-07,0.0,0.000350595281571886
2012-05-08,0.0,-0.004278683976109421
2012-05-09,-0.019607843137254832,-0.00670225559499027
2012-05-10,-0.040000000000000036,0.002517385462652788
2012-05-11,0.04166666666666674,-0.003387359258904654
2012-05-14,0.0,-0.011112835176852354
2012-05-15,0.0,-0.005745881122277252
2012-05-16,0.020000000000000018,-0.0044038296785055
2012-05-17,0.0,-0.015051328502415529
2012-05-18,0.0,-0.007387765737320362
2012-05-21,0.0,0.016035885795463223
2012-05-22,0.0,0.000486325883935379
2012-05-23,0.0,0.0016937180529077445
2012-05-24,0.0,0.0013799796794202734
2012-05-25,0.019607843137255054,-0.002165551079746919
2012-05-29,0.0,0.011078903036833676
2012-05-30,-0.019230769230769384,-0.01433481935125569
2012-05-31,0.019607843137255054,-0.0022766728596229635
2012-06-01,0.019230769230769162,-0.024642647272061224
2012-06-04,0.0,0.00010954273731655917
2012-06-05,0.018867924528301883,0.0057268929258789125
2012-06-06,0.01851851851851838,0.0230493971217427
2012-06-07,0.018181818181818077,-0.00010645335442127646
2012-06-08,0.0,0.00811413014547635
2012-06-11,0.0,-0.01262012884148278
2012-06-12,0.017857142857143016,0.011650737625388707
2012-06-13,0.03508771929824572,-0.007023214366626895
2012-06-14,0.0,0.01081467510343126
2012-06-15,0.10169491525423724,0.010337822586712786
2012-06-18,-0.03076923076923077,0.001444699294033569
2012-06-19,0.031746031746031855,0.009815731941284156
2012-06-20,0.030769230769230882,-0.0016863282228014587
2012-06-21,0.0,-0.022261726500896306
2012-06-22,-0.014925373134328401,0.0071745969475900395
2012-06-25,-0.045454545454545414,-0.015954817156297207
2012-06-26,0.01587301587301604,0.004772706512803371
2012-06-27,0.046875,0.008984916552398081
2012-06-28,-0.014925373134328401,-0.0021098472050155026
2012-06-29,0.015151515151515138,0.02492024318304953
2012-07-02,0.014925373134328401,0.002459329300522617
2012-07-03,-0.05882352941176461,0.006232103756105722
2012-07-05,0.046875,-0.004686976899899609
2012-07-06,0.0,-0.009432720572105424
2012-07-09,0.04477611940298498,-0.0016387633979980665
2012-07-10,0.028571428571428692,-0.008125933484169567
2012-07-11,0.0,-1.4909017719388906e-05
2012-07-12,0.08333333333333326,-0.004987140780498778
2012-07-13,-0.012820512820512775,0.016497347837813425
2012-07-16,0.10389610389610393,-0.0023143029820603678
2012-07-17,0.03529411764705892,0.0074096510150409856
2012-07-18,0.03409090909090895,0.006680501880953482
2012-07-19,-0.0219780219780219,0.0027171141770714335
2012-07-20,-0.0449438202247191,-0.010061677721193374
2012-07-23,-0.0117647058823529,-0.008909045543275762
2012-07-24,0.023809523809523725,-0.009040961999822295
2012-07-25,0.023255813953488413,-0.0003138286346211494
2012-07-26,0.011363636363636243,0.016540971230818657
2012-07-27,0.0,0.019080601755856463
2012-07-30,0.022471910112359383,-0.0004834159469542243
2012-07-31,0.03296703296703307,-0.004316754493611463
2012-08-01,0.02127659574468077,-0.003030478786648416
2012-08-02,0.09375,-0.007373794668179334
2012-08-03,0.04761904761904767,0.019040293040293088
2012-08-06,-0.009090909090909038,0.00232927627085755
2012-08-07,0.0183486238532109,0.005106761438213203
