,Price
2012-06-07,0.018181818181818077
2012-06-08,0.0
2012-06-09,0.0
2012-06-10,-0.017857142857142794
2012-06-11,0.018181818181818077
2012-06-12,0.017857142857143016
2012-06-13,0.03508771929824572
2012-06-14,0.0
2012-06-15,0.10169491525423724
2012-06-16,-0.01538461538461533
2012-06-17,-0.03125
2012-06-18,0.016129032258064502
2012-06-19,0.031746031746031855
2012-06-20,0.030769230769230882
2012-06-21,0.0
2012-06-22,-0.014925373134328401
2012-06-23,-0.030303030303030165
2012-06-24,-0.01562500000000011
2012-06-25,0.0
2012-06-26,0.01587301587301604
2012-06-27,0.046875
2012-06-28,-0.014925373134328401
2012-06-29,0.015151515151515138
2012-06-30,0.0
2012-07-01,-0.014925373134328401
2012-07-02,0.030303030303030276
2012-07-03,-0.05882352941176461
2012-07-04,0.015625
2012-07-05,0.030769230769230882
2012-07-06,0.0
2012-07-07,0.014925373134328401
2012-07-08,0.0
2012-07-09,0.02941176470588247
2012-07-10,0.028571428571428692
2012-07-11,0.0
2012-07-12,0.08333333333333326
2012-07-13,-0.012820512820512775
2012-07-14,-0.025974025974025983
2012-07-15,0.013333333333333197
2012-07-16,0.11842105263157898
2012-07-17,0.03529411764705892
2012-07-18,0.03409090909090895
2012-07-19,-0.0219780219780219
2012-07-20,-0.0449438202247191
2012-07-21,0.04705882352941182
2012-07-22,-0.0561797752808989
2012-07-23,0.0
2012-07-24,0.023809523809523725
2012-07-25,0.023255813953488413
2012-07-26,0.011363636363636243
2012-07-27,0.0
2012-07-28,0.0
2012-07-29,-0.022471910112359716
2012-07-30,0.04597701149425282
2012-07-31,0.03296703296703307
2012-08-01,0.02127659574468077
2012-08-02,0.09375
2012-08-03,0.04761904761904767
2012-08-04,0.0
2012-08-05,-0.009090909090909038
2012-08-06,0.0
2012-08-07,0.0183486238532109
2012-08-08,0.0
2012-08-09,0.0
2012-08-10,0.027027027027027195
2012-08-11,0.00877192982456143
2012-08-12,0.008695652173912993
2012-08-13,0.034482758620689724
2012-08-14,0.016666666666666607
2012-08-15,0.09016393442622972
2012-08-16,0.015037593984962294
2012-08-17,-0.14074074074074072
2012-08-18,0.0
2012-08-19,-0.31034482758620685
2012-08-20,0.26249999999999996
2012-08-21,-0.01980198019801971
2012-08-22,-0.010101010101010055
2012-08-23,0.030612244897959107
2012-08-24,0.04950495049504955
2012-08-25,-0.009433962264150941
2012-08-26,0.00952380952380949
2012-08-27,0.028301886792452935
2012-08-28,0.0
2012-08-29,0.0
2012-08-30,-0.00917431192660545
2012-08-31,-0.05555555555555569
2012-09-01,-0.019607843137254832
2012-09-02,0.020000000000000018
2012-09-03,0.02941176470588247
2012-09-04,-0.00952380952380949
2012-09-05,0.05769230769230771
2012-09-06,0.018181818181818077
2012-09-07,-0.017857142857142794
2012-09-08,0.0
2012-09-09,0.0
2012-09-10,0.018181818181818077
2012-09-11,0.008928571428571619
2012-09-12,0.008849557522123908
2012-09-13,0.0
2012-09-14,0.02631578947368407
2012-09-15,0.008547008547008739
2012-09-16,0.008474576271186418
2012-09-17,0.0
2012-09-18,0.03361344537815136
2012-09-19,0.024390243902439046
2012-09-20,-0.023809523809523725
2012-09-21,0.008130081300812941
2012-09-22,-0.016129032258064613
2012-09-23,0.0
2012-09-24,-0.008196721311475419
2012-09-25,0.008264462809917328
2012-09-26,0.00819672131147553
2012-09-27,0.0
2012-09-28,0.008130081300812941
2012-09-29,0.0
2012-09-30,0.0
2012-10-01,0.0
2012-10-02,0.032258064516129004
2012-10-03,0.0078125
2012-10-04,0.0
2012-10-05,-0.015503875968992276
2012-10-06,-0.015748031496062964
2012-10-07,-0.05599999999999994
2012-10-08,0.0
2012-10-09,0.008474576271186418
2012-10-10,0.01680672268907557
2012-10-11,-0.008264462809917328
2012-10-12,0.0
2012-10-13,-0.008333333333333304
2012-10-14,-0.01680672268907568
2012-10-15,0.008547008547008739
2012-10-16,0.008474576271186418
2012-10-17,-0.008403361344537785
2012-10-18,0.008474576271186418
2012-10-19,-0.01680672268907568
2012-10-20,0.0
2012-10-21,-0.008547008547008517
2012-10-22,0.008620689655172376
2012-10-23,-0.008547008547008517
2012-10-24,0.0
2012-10-25,-0.06034482758620685
2012-10-26,-0.06422018348623859
2012-10-27,0.009803921568627638
2012-10-28,0.03883495145631044
2012-10-29,-0.009345794392523366
2012-10-30,0.028301886792452935
2012-10-31,0.02752293577981635
2012-11-01,-0.05357142857142849
2012-11-02,-0.009433962264150941
2012-11-03,0.00952380952380949
2012-11-04,0.018867924528301883
2012-11-05,0.0
2012-11-06,0.0092592592592593
2012-11-07,0.0
2012-11-08,0.0
2012-11-09,-0.00917431192660545
2012-11-10,0.0092592592592593
2012-11-11,0.0
2012-11-12,0.00917431192660545
2012-11-13,-0.009090909090909038
2012-11-14,0.0
2012-11-15,0.02752293577981635
2012-11-16,0.0535714285714286
2012-11-17,0.0
2012-11-18,-0.016949152542372947
2012-11-19,0.017241379310344973
2012-11-20,-0.008474576271186529
2012-11-21,0.008547008547008739
2012-11-22,0.05084745762711851
2012-11-23,0.0
2012-11-24,0.0
2012-11-25,0.008064516129032251
2012-11-26,-0.015999999999999903
2012-11-27,-0.008130081300813163
2012-11-28,0.016393442622950838
2012-11-29,0.0
2012-11-30,0.016129032258064502
2012-12-01,0.0
2012-12-02,-0.007936507936507908
2012-12-03,0.016000000000000014
2012-12-04,0.0551181102362206
2012-12-05,0.0
2012-12-06,-0.007462686567164201
2012-12-07,0.015037593984962294
2012-12-08,-0.007407407407407418
2012-12-09,0.0
2012-12-10,0.0
2012-12-11,0.014925373134328401
2012-12-12,0.007352941176470562
2012-12-13,0.0
2012-12-14,-0.007299270072992692
2012-12-15,-0.007352941176470562
2012-12-16,-0.014814814814814725
2012-12-17,0.0
2012-12-18,0.0
2012-12-19,0.022556390977443552
2012-12-20,-0.007352941176470562
2012-12-21,0.0
2012-12-22,-0.007407407407407418
2012-12-23,-0.007462686567164201
2012-12-24,0.007518796992481258
2012-12-25,0.0
2012-12-26,0.00746268656716409
2012-12-27,-0.007407407407407418
2012-12-28,0.0
2012-12-29,0.0
2012-12-30,0.0
2012-12-31,0.00746268656716409
2013-01-01,-0.014814814814814725
2013-01-02,0.0
2013-01-03,0.007518796992481258
2013-01-04,0.00746268656716409
2013-01-05,-0.007407407407407418
2013-01-06,0.0
2013-01-07,0.014925373134328401
2013-01-08,0.007352941176470562
2013-01-09,0.007299270072992803
2013-01-10,0.021739130434782483
2013-01-11,0.0
2013-01-12,0.007092198581560183
2013-01-13,-0.007042253521126751
2013-01-14,0.014184397163120588
2013-01-15,0.0
2013-01-16,0.027972027972027913
2013-01-17,0.054421768707483054
2013-01-18,0.012903225806451646
2013-01-19,-0.006369426751592355
2013-01-20,0.0064102564102563875
2013-01-21,0.07006369426751591
2013-01-22,0.029761904761904656
2013-01-23,0.01156069364161838
2013-01-24,-0.034285714285714364
2013-01-25,0.029585798816567976
2013-01-26,0.028735632183908066
2013-01-27,-0.005586592178770777
2013-01-28,0.050561797752809
2013-01-29,0.04278074866310155
2013-01-30,0.01025641025641022
2013-01-31,0.035532994923857864
2013-02-01,0.004901960784313708
2013-02-02,-0.04390243902439017
2013-02-03,0.05102040816326525
2013-02-04,-0.009708737864077777
2013-02-05,0.009803921568627638
2013-02-06,0.029126213592232997
2013-02-07,0.04245283018867929
2013-02-08,0.02714932126696823
2013-02-09,0.0396475770925111
2013-02-10,0.016949152542372836
2013-02-11,0.025000000000000133
2013-02-12,0.024390243902439046
2013-02-13,-0.03968253968253965
2013-02-14,0.12396694214876036
